station,lon,lat,Annualised
hendon central,-0.2263467398232382,51.58317142482077,7024760.86058657
heron quays,-0.021451061501281746,51.50333239231443,5188658.69225851
high barnet,-0.19416624688190223,51.65052191222786,3549806.53586871
high street kensington,-0.19220609592531965,51.50044509893274,9769611.48627018
highams park,-0.0003077371814398317,51.608338902860346,2766784.93307372
highbury & islington,-0.1037367147978817,51.5474243924603,14413736.7162334
highgate,-0.14646788226539456,51.57784395375154,4448403.88556067
hillingdon,-0.44938394891092626,51.55394931648673,1375003.65391542
holborn,-0.12041642112778271,51.517578135118114,19966351.72938
holland park,-0.20566045316838777,51.507153573531596,2828364.55995115
holloway road,-0.11326351342118741,51.552755764486484,5046774.76866824
homerton,-0.04294653897030493,51.54707708418232,4300021.05830018
honor oak park,-0.044931292813544674,51.450625185372004,2505665.60949336
hornchurch,0.21910684007400003,51.55404895710731,1580705.74233766
hounslow central,-0.3662939172379908,51.47131979963469,3103931.20854157
hounslow east,-0.3563344605692855,51.47326292270873,3318414.02049294
hounslow west,-0.3857939831542602,51.47361867347103,2809801.90787389
hoxton,-0.07565709689096894,51.53144494678853,3525206.64407072
hyde park corner,-0.15414966922837586,51.5027515504957,3455454.5128691
ickenham,-0.44204013678137116,51.56196897211082,834896.682408393
ilford,0.06889387475453736,51.55901595033399,10645386.2870212
imperial wharf,-0.18309727070077314,51.47528433739321,2839727.25297195
island gardens,-0.010502231513365157,51.48805713701827,2208671.97215337
iver,-0.5060817994724178,51.50858582941986,538826.021731643
kennington,-0.10596541286235016,51.48834003191997,4727378.92632593
kensal green,-0.2244787816465951,51.53057177755812,1894521.53290569
kensal rise,-0.2205064371167951,51.53435749959396,3271614.459838
kensington (olympia),-0.21012996310043217,51.49773548808454,2458658.44911756
kensington olympia,-0.20953039946727586,51.497479749600934,
kentish town,-0.1407479399821426,51.55029387744978,0.0
kentish town west,-0.14680212739879034,51.54708674011207,2547915.91658687
kenton,-0.31672815541742494,51.58161162102014,1655527.30410059
kew gardens,-0.28504091647405505,51.476997744586534,2949079.00487919
kilburn,-0.20471489160119855,51.546953022454446,5319850.86423371
kilburn high road,-0.19125666482228543,51.53764737215039,747865.414417613
kilburn park,-0.19402032290999016,51.534947545387965,2625376.98123128
king george v,0.06229214246817125,51.50202536124489,1457631.81586653
kings cross st pancras,-0.12477613021792856,51.52978514307588,73887421.6512529
kingsbury,-0.27864474402888667,51.584641087244194,3786737.59131038
knightsbridge,-0.16146611606618974,51.50124118729131,13664308.6556179
ladbroke grove,-0.2109018577576743,51.51732053919889,5871986.79196582
lambeth north,-0.1122327661467621,51.49884222880147,2613116.21864447
lancaster gate,-0.17544510185673504,51.51168719578341,2957595.54209877
langdon park,-0.014124715298479005,51.515078875750135,3927979.51015785
langley,-0.5412391888512887,51.507729013929534,1766574.0603545
latimer road,-0.21785393577321283,51.513458663999614,2061208.6722939
leicester square,-0.1283321344299986,51.51140465728606,26400465.2632468
lewisham,-0.014083062226242166,51.46565346553588,7199788.18995887
leyton,-0.005487155382425079,51.55660356521063,8577171.11578068
leyton midland road,-0.00690706259029559,51.56938071664397,1863617.34146862
leytonstone,0.008183219874044318,51.568320494028455,6853418.67831136
leytonstone high road,0.008116214246268818,51.563706572006026,1373106.35811145
limehouse,-0.03971175756387426,51.51230828962983,5843989.47479425
liverpool street,-0.08321330923554981,51.51735237101746,91165557.88896191
london bridge,-0.08964851723570844,51.505065005491666,55461837.2810725
london city airport,0.048144105991576286,51.50366743966306,3451924.09255791
london fields,-0.057974851250048524,51.54102905436339,1951223.45305992
loughton,0.05533810169999307,51.64131224348848,2671175.63115774
maida vale,-0.1858293287116455,51.529729085515065,2748957.59768705
maidenhead,-0.72283507148399,51.51838390768808,5877845.47424643
manor house,-0.09606483069595927,51.570751264101304,5745801.19112004
manor park,0.0453638119732596,51.5521974107032,3943727.43979945
mansion house,-0.094105792133622,51.511816403196185,4310284.80212669
marble arch,-0.1573589906802929,51.51359976087709,8811272.94538711
maryland,0.0059684918586619,51.54597586240269,3850559.24967284
marylebone,-0.1642402663188005,51.52215890700219,8486691.90520256
mile end,-0.033768063294587126,51.52523491887216,10803606.1362506
mill hill east,-0.21006141993144076,51.60823323268753,1551884.96366618
monument,-0.0861136343254288,51.51071967113303,
moor park,-0.43228696397287464,51.629866296693365,798934.390444931
moorgate,-0.08931153515551986,51.51836305552553,25803190.8046565
morden,-0.19475485350439226,51.40253820130655,8332464.60306035
mornington crescent,-0.13874979864115178,51.53470494233911,2839799.84677268
mudchute,-0.015032189977413825,51.4908858080294,1602768.46162136
neasden,-0.2511708953836603,51.554426400499004,2531682.86643198
new cross,-0.032451801797367966,51.47670333502737,2470643.4663542
new cross gate,-0.04068317894571559,51.47588670414289,4694083.0200889
newbury park,0.089920829906462,51.57570573751537,3172845.88285334
nine elms,-0.12948529538068784,51.48013931574214,3941646.59410364
north acton,-0.2597600781194743,51.5236117661968,5849604.19468908
north ealing,-0.2888251159580139,51.51748228438488,597331.725605435
north greenwich,0.004287576712352387,51.500534312056345,22733502.6035648
north harrow,-0.36260470099099673,51.58494710527485,1421585.12471878
north wembley,-0.3038826458342013,51.56239371368014,1329040.34575231
northfields,-0.31299492833767906,51.49965470504596,2473965.42009773
northolt,-0.3686504240723905,51.548259260589994,4102956.38350566
northwick park,-0.3180663388463142,51.57847500401296,3084252.12400378
northwood,-0.4239354593141582,51.61101410161792,2100182.2994048
northwood hills,-0.4087463545441836,51.600192233720485,1344820.21068434
norwood junction,-0.0747100213289568,51.39721573747235,
notting hill gate,-0.19608997336265582,51.509156012573975,12293581.2098031
oakwood,-0.1312689387217083,51.64733362819432,2212716.66976148
old street,-0.08763720259182513,51.525085276312076,15841473.1979351
osterley,-0.35222074679683535,51.4812434687809,1639738.99705523
oval,-0.1124062491167189,51.48183745351276,5182823.92367104
oxford circus,-0.14163045969608354,51.515319726422334,50944931.199895
paddington,-0.175989692264117,51.516561482784056,54006559.7013529
paddington (h&c line),-0.17879726299159648,51.518513275309395,
park royal,-0.2839675301559994,51.526479964901434,1645171.83022169
parsons green,-0.20176352486363486,51.47498535708651,5552385.1142049
peckham rye,-0.07054486453542057,51.46946972763023,6641081.78531119
penge west,-0.060369741753909564,51.41778851517405,816509.601805279
perivale,-0.323425169229821,51.5367509216631,1688143.85325652
piccadilly circus,-0.1336873864316472,51.51006061519836,27290612.0278476
pimlico,-0.13370871250340682,51.489081972458365,7342134.84034987
pinner,-0.3811619189424988,51.59282556787735,2424212.81141775
plaistow,0.01698872064506072,51.531231341070836,4465347.79943452
pontoon dock,0.03322630989810301,51.5022815457314,2632022.11265234
