Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early,AM Peak,Midday,PM Peak,Evening,Late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
MGTu_MET_SB>LSTu_MET_SB@HAM,H&C and Circle,OR,36,645,MGTu,Moorgate,634,LSTu,Liverpool Street LU,234,19,36,72,36,36,35,1,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSTu_MET_SB>ALEu_DIS_EB@HAM,H&C and Circle,OR,37,634,LSTu,Liverpool Street LU,503,ALEu,Aldgate East,119,8,18,36,17,19,21,0,0,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEu_DIS_EB>WCLu_DIS_EB@HAM,H&C and Circle,OR,38,503,ALEu,Aldgate East,763,WCLu,Whitechapel,119,7,18,36,18,18,22,0,0,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCLu_DIS_EB>STGu_DIS_EB@HAM,H&C and Circle,OR,39,763,WCLu,Whitechapel,715,STGu,Stepney Green,119,7,18,36,18,18,22,0,0,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STGu_DIS_EB>MLEu_DIS_EB@HAM,H&C and Circle,OR,40,715,STGu,Stepney Green,642,MLEu,Mile End,119,7,18,36,18,18,22,0,0,1,0,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLEu_DIS_EB>BWRu_DIS_EB@HAM,H&C and Circle,OR,41,642,MLEu,Mile End,528,BWRu,Bow Road,119,7,18,36,17,19,22,0,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWRu_DIS_EB>BBBu_DIS_EB@HAM,H&C and Circle,OR,42,528,BWRu,Bow Road,530,BBBu,Bromley-by-Bow,119,7,18,35,18,18,23,0,0,1,0,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBBu_DIS_EB>WHMu_DIS_EB@HAM,H&C and Circle,OR,43,530,BBBu,Bromley-by-Bow,757,WHMu,West Ham,119,7,17,36,18,18,23,0,0,0,1,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHMu_DIS_EB>PLWu_DIS_EB@HAM,H&C and Circle,OR,44,757,WHMu,West Ham,676,PLWu,Plaistow,119,6,18,36,18,18,23,0,0,0,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLWu_DIS_EB>UPKu_DIS_EB@HAM,H&C and Circle,OR,45,676,PLWu,Plaistow,739,UPKu,Upton Park,118,6,18,36,18,18,22,0,0,0,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPKu_DIS_EB>EHMu_DIS_EB@HAM,H&C and Circle,OR,46,739,UPKu,Upton Park,566,EHMu,East Ham,118,6,18,36,17,19,22,0,0,0,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHMu_DIS_EB>BKGu_DIS_EB@HAM,H&C and Circle,OR,47,566,EHMu,East Ham,514,BKGu,Barking,118,6,17,36,18,18,23,0,0,0,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFDu_JUB_NB>WHMu_JUB_NB@JUB,Jubilee,NB,1,719,SFDu,Stratford,757,WHMu,West Ham,431,29,79,132,83,66,42,0,4,3,3,4,5,5,5,5,5,7,8,7,7,8,8,7,7,5,5,5,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,5,5,4,6,7,6,8,7,8,7,8,7,8,7,5,5,5,4,5,6,6,6,6,6,6,6,6,6,6,5,5,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHMu_JUB_NB>CNTu_JUB_NB@JUB,Jubilee,NB,2,757,WHMu,West Ham,884,CNTu,Canning Town,443,32,82,134,86,66,43,0,3,4,4,4,5,6,6,7,6,7,7,8,7,8,7,8,7,5,5,5,5,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,7,6,6,7,7,8,7,8,7,8,7,8,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,5,5,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTu_JUB_NB>NOGu_JUB_NB@JUB,Jubilee,NB,3,884,CNTu,Canning Town,789,NOGu,North Greenwich,443,31,82,135,85,66,44,0,3,3,4,5,5,5,6,6,7,6,8,7,8,7,8,7,8,5,5,5,5,5,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,7,5,7,6,7,7,8,7,8,7,8,7,8,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOGu_JUB_NB>CWFu_JUB_NB@JUB,Jubilee,NB,4,789,NOGu,North Greenwich,852,CWFu,Canary Wharf LU,475,31,88,149,90,72,45,0,2,4,3,5,5,5,7,7,8,7,8,7,8,7,8,7,8,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWFu_JUB_NB>CWRu_JUB_NB@JUB,Jubilee,NB,5,852,CWFu,Canary Wharf LU,788,CWRu,Canada Water,475,30,88,148,90,74,45,0,2,3,4,4,5,6,6,7,8,7,8,7,8,7,8,7,8,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,5,6,5,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWRu_JUB_NB>BERu_JUB_NB@JUB,Jubilee,NB,6,788,CWRu,Canada Water,787,BERu,Bermondsey,475,29,88,148,90,74,46,0,1,3,4,4,5,6,6,7,7,8,7,8,7,8,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,5,6,5,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BERu_JUB_NB>LONu_JUB_NB@JUB,Jubilee,NB,7,787,BERu,Bermondsey,635,LONu,London Bridge LU,475,28,88,148,90,74,47,0,1,3,4,4,5,5,6,7,7,8,7,8,7,8,7,8,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LONu_JUB_NB>SWKu_JUB_NB@JUB,Jubilee,NB,8,635,LONu,London Bridge LU,784,SWKu,Southwark,475,27,88,148,90,74,48,0,0,4,3,4,5,5,6,7,7,8,7,8,7,8,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWKu_JUB_NB>WLOu_JUB_NB@JUB,Jubilee,NB,9,784,SWKu,Southwark,747,WLOu,Waterloo LU,475,26,88,149,89,74,49,0,0,3,4,4,4,6,5,7,7,8,7,8,7,8,7,8,7,8,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,8,7,7,8,7,8,7,8,7,8,7,8,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLOu_JUB_NB>WMSu_JUB_NB@JUB,Jubilee,NB,10,747,WLOu,Waterloo LU,761,WMSu,Westminster,475,26,88,148,90,74,49,0,0,3,3,4,5,5,6,6,7,8,7,8,7,8,7,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,7,7,8,7,8,7,8,7,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WMSu_JUB_NB>GPKu_JUB_NB@JUB,Jubilee,NB,11,761,WMSu,Westminster,590,GPKu,Green Park,475,25,88,148,90,74,50,0,0,2,4,4,4,5,6,7,6,8,7,8,7,8,7,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPKu_JUB_NB>BDSu_JUB_NB@JUB,Jubilee,NB,12,590,GPKu,Green Park,524,BDSu,Bond Street,475,24,88,148,90,74,51,0,0,2,3,4,5,5,5,7,6,8,7,8,7,8,7,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,7,8,7,8,7,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDSu_JUB_NB>BSTu_JUB_NB@JUB,Jubilee,NB,13,524,BDSu,Bond Street,511,BSTu,Baker Street,475,23,88,148,90,74,52,0,0,1,4,4,4,5,5,7,6,8,7,8,7,8,7,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,7,8,7,7,8,7,8,7,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSTu_JUB_NB>SJWu_JUB_NB@JUB,Jubilee,NB,14,511,BSTu,Baker Street,696,SJWu,St. John's Wood,475,23,87,148,89,76,52,0,0,1,3,4,4,5,6,6,6,8,7,8,7,8,7,8,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,7,8,7,8,7,8,7,8,7,8,7,6,7,6,6,6,6,6,6,6,6,6,6,6,5,6,5,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJWu_JUB_NB>SWCu_JUB_NB@JUB,Jubilee,NB,15,696,SJWu,St. John's Wood,723,SWCu,Swiss Cottage,475,22,87,148,89,75,54,0,0,0,4,3,5,4,6,6,6,7,8,7,8,7,8,7,8,8,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,7,7,8,7,8,7,8,7,8,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWCu_JUB_NB>FRDu_JUB_NB@JUB,Jubilee,NB,16,723,SWCu,Swiss Cottage,579,FRDu,Finchley Road,475,21,87,148,89,76,54,0,0,0,3,4,4,5,5,6,6,7,8,7,8,7,8,7,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,7,7,8,7,8,7,8,7,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRDu_JUB_NB>WHDu_JUB_NB@JUB,Jubilee,NB,17,579,FRDu,Finchley Road,758,WHDu,West Hampstead LU,475,20,87,148,89,76,55,0,0,0,3,4,4,4,5,6,7,7,7,8,7,8,7,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,7,7,8,7,8,7,8,7,8,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHDu_JUB_NB>KILu_JUB_NB@JUB,Jubilee,NB,18,758,WHDu,West Hampstead LU,622,KILu,Kilburn,424,20,73,124,78,74,55,0,0,0,3,3,4,5,5,5,5,6,7,6,6,7,6,7,5,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,6,7,6,7,6,7,6,7,6,7,7,7,5,6,6,6,7,6,6,6,6,6,6,6,6,6,5,6,4,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILu_JUB_NB>WLGu_JUB_NB@JUB,Jubilee,NB,19,622,KILu,Kilburn,765,WLGu,Willesden Green,424,19,74,124,77,74,56,0,0,0,2,4,4,4,5,5,5,6,7,6,6,7,6,7,6,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,7,6,7,6,7,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLGu_JUB_NB>DHLu_JUB_NB@JUB,Jubilee,NB,20,765,WLGu,Willesden Green,558,DHLu,Dollis Hill,366,16,61,101,64,71,53,0,0,0,2,3,4,3,4,3,4,5,5,6,5,6,5,6,5,6,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,6,5,5,6,5,5,6,5,6,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,5,4,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHLu_JUB_NB>NEAu_JUB_NB@JUB,Jubilee,NB,21,558,DHLu,Dollis Hill,649,NEAu,Neasden,366,16,60,101,64,71,54,0,0,0,1,4,4,3,4,3,4,5,5,6,5,6,4,6,6,5,5,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,5,6,5,5,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,5,4,5,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEAu_JUB_NB>WPKu_JUB_NB@JUB,Jubilee,NB,22,649,NEAu,Neasden,752,WPKu,Wembley Park,366,15,61,100,65,70,55,0,0,0,1,3,4,3,4,4,4,4,5,6,5,6,5,5,6,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,5,5,6,5,6,5,6,6,6,5,6,5,6,6,6,6,6,6,7,5,7,5,7,5,4,5,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPKu_JUB_NB>KBYu_JUB_NB@JUB,Jubilee,NB,23,752,WPKu,Wembley Park,624,KBYu,Kingsbury,299,18,53,76,54,55,43,0,0,1,1,5,4,3,4,4,5,5,4,4,5,4,5,4,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,4,5,4,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KBYu_JUB_NB>QBYu_JUB_NB@JUB,Jubilee,NB,24,624,KBYu,Kingsbury,679,QBYu,Queensbury,299,17,53,77,53,56,43,0,0,1,1,4,4,4,3,5,5,4,4,4,5,4,5,4,4,6,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,5,4,5,4,4,5,4,5,5,5,5,4,4,5,4,6,3,6,3,6,3,6,3,6,4,5,4,2,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QBYu_JUB_NB>CPKu_JUB_NB@JUB,Jubilee,NB,25,679,QBYu,Queensbury,537,CPKu,Canons Park,299,17,53,76,53,56,44,0,0,1,1,3,4,4,4,4,5,4,5,4,5,4,5,3,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,5,4,4,5,4,5,4,5,4,5,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPKu_JUB_NB>STAu_JUB_NB@JUB,Jubilee,NB,26,537,CPKu,Canons Park,714,STAu,Stanmore,299,16,53,76,54,55,45,0,0,1,1,2,4,5,3,4,5,4,5,4,5,4,5,4,4,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,5,4,5,4,4,5,4,5,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,4,2,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAu_JUB_SB>CPKu_JUB_SB@JUB,Jubilee,SB,1,714,STAu,Stanmore,537,CPKu,Canons Park,287,20,53,76,54,54,30,0,1,2,1,3,5,4,4,4,5,5,4,4,5,4,5,4,4,5,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,5,5,4,5,4,5,4,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,3,4,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPKu_JUB_SB>QBYu_JUB_SB@JUB,Jubilee,SB,2,537,CPKu,Canons Park,679,QBYu,Queensbury,290,22,54,76,53,54,31,0,1,2,2,4,4,5,4,5,4,5,4,5,4,5,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,4,2,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QBYu_JUB_SB>KBYu_JUB_SB@JUB,Jubilee,SB,3,679,QBYu,Queensbury,624,KBYu,Kingsbury,290,22,53,76,54,53,32,0,1,2,2,3,5,5,4,5,4,4,5,4,5,4,5,4,4,5,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,5,4,5,4,5,4,5,4,4,5,4,4,5,4,5,4,5,4,5,4,5,4,4,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KBYu_JUB_SB>WPKu_JUB_SB@JUB,Jubilee,SB,4,624,KBYu,Kingsbury,752,WPKu,Wembley Park,290,21,53,77,53,53,33,0,1,1,3,3,4,5,4,5,4,5,4,5,4,5,4,4,4,5,4,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPKu_JUB_SB>NEAu_JUB_SB@JUB,Jubilee,SB,5,752,WPKu,Wembley Park,649,NEAu,Neasden,363,27,65,99,66,67,39,1,1,2,3,3,5,6,6,6,5,5,6,5,6,5,6,5,5,5,6,5,6,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,5,6,5,6,5,6,5,6,5,6,5,5,4,5,6,6,6,6,6,6,6,6,6,6,6,4,4,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEAu_JUB_SB>DHLu_JUB_SB@JUB,Jubilee,SB,6,649,NEAu,Neasden,558,DHLu,Dollis Hill,366,29,65,100,65,67,40,2,1,3,3,4,4,6,6,5,6,5,6,5,6,5,6,5,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,6,5,6,5,6,5,6,5,5,5,4,6,5,6,6,6,6,6,6,6,6,6,6,5,3,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHLu_JUB_SB>WLGu_JUB_SB@JUB,Jubilee,SB,7,558,DHLu,Dollis Hill,765,WLGu,Willesden Green,366,28,65,101,64,67,41,2,1,3,3,3,5,5,6,6,5,6,5,6,5,6,5,6,5,5,5,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,6,5,6,5,6,5,6,5,6,5,5,5,4,6,5,6,6,6,6,6,6,6,6,6,6,6,3,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLGu_JUB_SB>KILu_JUB_SB@JUB,Jubilee,SB,8,765,WLGu,Willesden Green,622,KILu,Kilburn,424,29,77,125,76,71,46,1,2,2,3,4,4,6,7,6,7,7,6,7,6,7,6,6,7,6,6,6,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,6,7,6,7,6,7,6,7,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KILu_JUB_SB>WHDu_JUB_SB@JUB,Jubilee,SB,9,622,KILu,Kilburn,758,WHDu,West Hampstead LU,424,28,77,125,76,71,47,1,1,3,3,3,4,6,7,7,6,7,6,7,6,7,6,7,6,6,6,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,6,7,6,7,6,7,6,7,6,7,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHDu_JUB_SB>FRDu_JUB_SB@JUB,Jubilee,SB,10,758,WHDu,West Hampstead LU,579,FRDu,Finchley Road,475,27,89,149,88,75,47,0,2,3,3,3,4,5,7,8,7,8,7,8,7,8,7,8,7,7,7,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,8,7,8,7,8,7,8,7,8,7,8,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRDu_JUB_SB>SWCu_JUB_SB@JUB,Jubilee,SB,11,579,FRDu,Finchley Road,723,SWCu,Swiss Cottage,475,26,90,149,88,74,48,0,2,2,3,4,3,6,6,8,7,8,7,8,7,8,7,8,7,8,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,7,8,7,8,7,8,7,8,7,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
