Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early,AM Peak,Midday,PM Peak,Evening,Late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
CAWd_DLRc_IB>WIQd_DLRc_IB@DLR,DLR,IB,34,842,CAWd,Canary Wharf DLR,866,WIQd,West India Quay,226,11,40,73,40,36,26,0,0,1,2,1,2,2,3,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAWd_DLRs_IB>WIQd_DLRs_IB@DLR,DLR,IB,34,842,CAWd,Canary Wharf DLR (Stratford),866,WIQd,West India Quay,223,10,36,74,41,37,25,0,0,2,1,2,2,1,2,2,1,4,3,3,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIQd_DLRc_IB>WESd_DLR_IB@DLR,DLR,IB,35,866,WIQd,West India Quay,865,WESd,Westferry,226,11,40,72,40,37,26,0,0,1,2,1,2,2,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESd_DLR_IB>LIMd_DLR_IB@DLR,DLR,IB,36,865,WESd,Westferry,862,LIMd,Limehouse DLR,468,31,80,144,80,74,59,0,0,4,5,5,5,6,6,6,7,7,6,7,7,6,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,7,6,7,7,6,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIMd_DLR_IB>SHAd_DLR_IB@DLR,DLR,IB,37,862,LIMd,Limehouse DLR,860,SHAd,Shadwell DLR,468,30,80,145,80,73,60,0,0,4,4,5,5,6,6,7,6,7,7,6,7,7,6,7,7,6,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,6,7,7,6,7,7,6,7,7,6,7,7,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAd_DLR_IB>TOGd_DLR_IB@DLR,DLR,IB,38,860,SHAd,Shadwell DLR,864,TOGd,Tower Gateway,121,9,20,36,21,18,17,0,0,1,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHAd_DLR_IB>BNKu_DLR_IB@DLR,DLR,IB,39,860,SHAd,Shadwell DLR,513,BNKu,Bank and Monument,346,20,60,108,60,55,43,0,0,2,3,3,4,3,5,5,4,6,5,4,6,5,4,6,5,4,6,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,6,5,4,6,5,4,6,5,4,6,5,4,6,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIQd_DLRs_IB>POPd_DLRs_IB@DLR,DLR,IB,40,866,WIQd,West India Quay,858,POPd,Poplar,223,10,36,74,41,37,25,0,0,2,1,2,2,1,2,2,1,4,3,3,4,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPd_DLRs_IB>ALSd_DLR_IB@DLR,DLR,IB,41,858,POPd,Poplar,850,ALSd,All Saints,221,11,36,72,40,37,25,0,1,2,1,2,1,2,2,1,2,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALSd_DLR_IB>LAPd_DLR_IB@DLR,DLR,IB,42,850,ALSd,All Saints,853,LAPd,Langdon Park,229,14,40,72,41,36,26,0,1,1,2,2,2,3,3,4,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,4,3,3,4,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
