lat,lon,crowding_score,crowding_score_norm,min_distance_to_station_km,top_relieved_stations
51.35,-0.007246376811594124,0.0,0.0,8.059906119283797,
51.35,0.0007246376811594901,0.0,0.0,8.350720365979516,
51.35,0.008695652173913104,0.0,0.0,8.667122802368795,
51.35,0.016666666666666774,0.0,0.0,9.006417029525016,
51.35,0.024637681159420388,0.0,0.0,9.366115559561864,
51.35,0.032608695652174,0.0,0.0,9.743958974118582,
51.35,0.040579710144927617,0.0,0.0,10.13791867530626,
51.35,0.04855072463768123,0.0,0.0,10.546188710428774,
51.35,0.0565217391304349,0.0,0.0,10.967171017910086,
51.35,0.06449275362318851,0.0,0.0,11.39945728622427,
51.35,0.07246376811594213,0.0,0.0,11.8418096190925,
51.35,0.08043478260869574,0.0,0.0,12.293141417788947,
51.35,0.08840579710144936,0.0,0.0,12.752499318977842,
51.35,0.09637681159420297,0.0,0.0,13.21904663004169,
51.35,0.10434782608695664,0.0,0.0,13.692048442605428,
51.35,0.11231884057971026,0.0,0.0,14.157468280284274,
51.35,0.12028985507246387,0.0,0.0,14.62867293380905,
51.35,0.12826086956521748,0.0,0.0,15.10543641693367,
51.35,0.1362318840579711,0.0,0.0,15.58724865281734,
51.35,0.14420289855072477,0.0,0.0,15.772257410110468,
51.35,0.15217391304347838,0.0,0.0,15.839288662689523,
51.35,0.160144927536232,0.0,0.0,15.92523222172362,
51.35,0.1681159420289856,0.0,0.0,16.029783894549322,
51.35,0.17608695652173922,0.0,0.0,16.15258234682225,
51.35,0.18405797101449284,0.0,0.0,16.29321501619135,
51.35,0.19202898550724645,0.0,0.0,16.45122454198748,
51.35,0.2,0.0,0.0,16.626115496736443,
51.35434782608696,-0.35,0.0,0.0,12.033685442650512,
51.35434782608696,-0.34202898550724636,0.0,0.0,11.540963744470943,
51.35434782608696,-0.33405797101449275,0.0,0.0,11.053968673346693,
51.35434782608696,-0.3260869565217391,0.0,0.0,10.573491537948534,
51.35434782608696,-0.31811594202898547,0.0,0.0,10.100462558179057,
51.35434782608696,-0.31014492753623185,0.0,0.0,9.635978689535811,
51.35434782608696,-0.30217391304347824,0.0,0.0,9.181336921135525,
51.35434782608696,-0.2942028985507246,0.0,0.0,8.738073646571237,
51.35434782608696,-0.28623188405797095,0.0,0.0,8.308010326156156,
51.35434782608696,-0.27826086956521734,0.0,0.0,7.893304841817428,
51.35434782608696,-0.2702898550724637,0.0,0.0,7.496506411075932,
51.35434782608696,-0.2623188405797101,0.0,0.0,7.120609298929018,
51.35434782608696,-0.2543478260869565,0.0,0.0,6.769096441981542,
51.35434782608696,-0.24637681159420285,0.0,0.0,6.44595826759236,
51.35434782608696,-0.23840579710144924,0.0,0.0,6.155664942029378,
51.35434782608696,-0.2304347826086956,0.0,0.0,5.903064065129817,
51.35434782608696,-0.22246376811594198,0.0,0.0,5.693174989320192,
51.35434782608696,-0.21449275362318837,0.0,0.0,5.5308624294287245,
51.35434782608696,-0.20652173913043473,0.0,0.0,5.4204020737659055,
51.35434782608696,-0.19855072463768111,0.0,0.0,5.364997647471138,
51.35434782608696,-0.19057971014492747,0.0,0.0,5.366354681586112,
51.35434782608696,-0.18260869565217386,0.0,0.0,5.424430576083052,
51.35434782608696,-0.17463768115942024,0.0,0.0,5.537441039727438,
51.35434782608696,-0.1666666666666666,0.0,0.0,5.7021207576729465,
51.35434782608696,-0.158695652173913,0.0,0.0,5.914155108953319,
51.35434782608696,-0.15072463768115937,0.0,0.0,6.168662885292138,
51.35434782608696,-0.14275362318840573,0.0,0.0,6.460626480274222,
51.35434782608696,-0.13478260869565212,0.0,0.0,6.7852125084565875,
51.35434782608696,-0.1268115942028985,0.0,0.0,7.137972018961173,
51.35434782608696,-0.11884057971014486,0.0,0.0,7.4766047846624195,
51.35434782608696,-0.11086956521739125,0.0,0.0,7.2182974389952035,
51.35434782608696,-0.1028985507246376,0.0,0.0,6.994283510739318,
51.35434782608696,-0.09492753623188399,0.0,0.0,6.8079490947011365,
51.35434782608696,-0.08695652173913038,0.0,0.0,6.662456385637302,
51.35434782608696,-0.07898550724637676,0.0,0.0,6.560523187611551,
51.35434782608696,-0.07101449275362309,0.0,0.0,6.504197806492108,
51.35434782608696,-0.06304347826086948,0.0,0.0,6.494666960790062,
51.35434782608696,-0.055072463768115865,0.0,0.0,6.532135483397179,
51.35434782608696,-0.04710144927536225,0.0,0.0,6.615804881179987,
51.35434782608696,-0.039130434782608636,0.0,0.0,6.7439557883889645,
51.35434782608696,-0.031159420289854967,0.0,0.0,6.914115294303913,
51.35434782608696,-0.023188405797101352,0.0,0.0,7.123273550828381,
